id,custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,market
1,,admin.,married,,no,no,yes,cellular,sep,wed,2,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,999.0,2,0.0
2,35.0,services,married,high.school,no,no,no,cellular,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,0.1,2,1.0
3,50.0,blue-collar,married,professional.course,unknown,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,999.0,2,0.0
4,30.0,admin.,single,university.degree,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999.0,0,0.0
5,39.0,services,divorced,high.school,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,999.0,0,0.0
6,,student,single,,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,999.0,0,0.0
7,36.0,housemaid,married,basic.4y,no,yes,no,cellular,apr,,7,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,999.0,0,0.0
8,30.0,admin.,single,basic.9y,no,yes,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999.0,0,0.0
9,,blue-collar,single,,no,yes,no,telephone,may,wed,10,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.0
10,,self-employed,married,,no,no,no,cellular,aug,fri,7,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0.0
11,33.0,entrepreneur,married,university.degree,no,no,yes,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999.0,0,0.0
12,28.0,technician,married,basic.9y,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,999.0,0,0.0
13,31.0,admin.,single,high.school,no,yes,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999.0,0,0.0
14,,blue-collar,single,professional.course,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999.0,0,0.0
15,39.0,technician,single,basic.6y,unknown,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.0
16,29.0,admin.,married,,no,no,yes,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0.0
17,,entrepreneur,unknown,,no,no,no,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,999.0,0,0.0
18,42.0,management,married,university.degree,no,yes,yes,cellular,nov,,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,0.0
